host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2015-08-02,100%,100%,f,2.0,t,t,47.639810187873806,-122.37380062876858,t,Apartment,4,1.0,1.0,2.0,,$125.00,,$50.00,2,$25.00,2,365,t,30,60,90,353,19,2015-08-27,2015-11-29,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,moderate,f,f,2,4.35
2013-05-23,50%,,f,1.0,t,t,47.63556952470362,-122.3616525946424,t,House,8,3.0,3.0,3.0,,$348.00,$750.00,$150.00,6,$20.00,3,1125,t,0,0,0,153,5,2015-08-04,2015-09-03,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,1,0.97
2014-09-08,31%,100%,f,1.0,t,f,47.63497873047923,-122.35886941246471,t,House,1,1.0,1.0,1.0,,$45.00,,,1,$0.00,1,1125,t,28,58,88,363,7,2015-05-17,2015-12-08,97.0,9.0,8.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,0.9
2015-08-02,100%,100%,f,2.0,t,t,47.63936210298089,-122.37240255654484,t,Apartment,4,1.0,1.0,2.0,,$150.00,,$50.00,2,$25.00,2,365,t,16,46,76,351,2,2015-10-25,2015-12-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,moderate,f,f,2,0.83
2012-04-02,100%,100%,t,1.0,t,t,47.6346162843086,-122.3580227325536,t,Apartment,2,1.0,0.0,1.0,,$80.00,,$20.00,1,$0.00,3,1125,t,12,38,40,201,11,2015-07-22,2015-08-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,1.98
2014-09-28,100%,100%,f,1.0,t,t,47.63800137747846,-122.36100481691408,t,Apartment,4,1.0,1.0,2.0,,$110.00,$100.00,$40.00,2,$15.00,2,1125,t,19,46,76,351,71,2014-10-09,2016-01-01,90.0,10.0,8.0,10.0,10.0,10.0,9.0,f,f,moderate,f,f,1,4.7
2013-08-18,100%,100%,f,1.0,t,t,47.63199585097701,-122.3716576650487,t,House,3,1.0,1.0,2.0,,$148.00,,$100.00,2,$20.00,3,365,t,0,13,43,310,9,2014-06-02,2015-10-29,91.0,9.0,10.0,9.0,9.0,10.0,10.0,f,f,strict,t,t,1,0.46
2012-05-07,,,f,1.0,t,t,47.63868624334983,-122.37079986877468,t,House,4,1.5,2.0,2.0,,$350.00,$500.00,$100.00,4,$0.00,2,30,t,0,3,33,308,41,2013-07-29,2015-07-31,98.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,moderate,f,f,1,1.38
2014-07-03,100%,100%,t,1.0,t,t,47.633650043720536,-122.36044969320191,t,Apartment,3,1.5,1.0,2.0,,$150.00,,$50.00,1,$0.00,2,1125,t,8,34,64,339,18,2015-07-28,2015-12-31,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,3.35
2015-05-27,50%,100%,f,1.0,t,t,47.63430017546052,-122.35705980444612,t,House,5,1.0,1.0,1.0,,$150.00,,,1,$0.00,1,1125,t,0,0,11,285,9,2015-08-22,2015-09-20,100.0,10.0,10.0,9.0,9.0,10.0,10.0,f,f,flexible,f,f,1,1.99
